date,league,home_team,away_team,home_goals,away_goals
2023-08-19T18:00:00+00:00,Ekstraklasa,Ruch Chorzów,Jagiellonia,0,1
2023-08-20T13:00:00+00:00,Ekstraklasa,ŁKS Łódź,Pogon Szczecin,1,0
2023-08-20T15:30:00+00:00,Ekstraklasa,Slask Wroclaw,Lech Poznan,3,1
2023-08-20T18:00:00+00:00,Ekstraklasa,Legia Warszawa,Korona Kielce,1,0
2023-08-21T17:00:00+00:00,Ekstraklasa,Cracovia Krakow,Piast Gliwice,1,1
2023-08-25T16:00:00+00:00,Ekstraklasa,Stal Mielec,Radomiak Radom,2,0
2023-08-25T18:30:00+00:00,Ekstraklasa,Widzew Łódź,Slask Wroclaw,0,2
2023-08-26T13:00:00+00:00,Ekstraklasa,Warta Poznań,Cracovia Krakow,0,0
2023-08-26T15:30:00+00:00,Ekstraklasa,Puszcza Niepołomice,ŁKS Łódź,2,1
2023-08-26T18:00:00+00:00,Ekstraklasa,Piast Gliwice,Ruch Chorzów,0,0
2023-08-27T13:00:00+00:00,Ekstraklasa,Korona Kielce,Zaglebie Lubin,2,0
2023-08-27T15:30:00+00:00,Ekstraklasa,Jagiellonia,Gornik Zabrze,4,1
2023-08-30T16:30:00+00:00,Ekstraklasa,Pogon Szczecin,Slask Wroclaw,0,2
2023-09-01T16:00:00+00:00,Ekstraklasa,ŁKS Łódź,Warta Poznań,0,2
2023-09-01T18:30:00+00:00,Ekstraklasa,Ruch Chorzów,Stal Mielec,1,1
2023-09-02T13:00:00+00:00,Ekstraklasa,Radomiak Radom,Piast Gliwice,1,1
2023-09-02T15:30:00+00:00,Ekstraklasa,Cracovia Krakow,Korona Kielce,0,0
2023-09-02T18:00:00+00:00,Ekstraklasa,Lech Poznan,Gornik Zabrze,1,1
2023-09-03T10:30:00+00:00,Ekstraklasa,Slask Wroclaw,Jagiellonia,2,1
2023-09-03T13:00:00+00:00,Ekstraklasa,Zaglebie Lubin,Pogon Szczecin,1,0
2023-09-03T15:30:00+00:00,Ekstraklasa,Legia Warszawa,Widzew Łódź,3,1
2023-09-03T18:00:00+00:00,Ekstraklasa,Raków Częstochowa,Puszcza Niepołomice,2,0
2023-09-15T16:00:00+00:00,Ekstraklasa,Puszcza Niepołomice,Slask Wroclaw,1,3
2023-09-15T18:30:00+00:00,Ekstraklasa,Gornik Zabrze,Ruch Chorzów,1,0
2023-09-16T13:00:00+00:00,Ekstraklasa,Pogon Szczecin,Korona Kielce,3,1
2023-09-16T15:30:00+00:00,Ekstraklasa,Raków Częstochowa,ŁKS Łódź,1,0
2023-09-16T18:00:00+00:00,Ekstraklasa,Piast Gliwice,Legia Warszawa,1,1
2023-09-17T10:30:00+00:00,Ekstraklasa,Jagiellonia,Radomiak Radom,3,2
2023-09-17T13:00:00+00:00,Ekstraklasa,Widzew Łódź,Cracovia Krakow,2,0
2023-09-17T15:30:00+00:00,Ekstraklasa,Warta Poznań,Lech Poznan,0,2
2023-09-18T17:00:00+00:00,Ekstraklasa,Stal Mielec,Zaglebie Lubin,4,2
2023-09-22T16:00:00+00:00,Ekstraklasa,Korona Kielce,Widzew Łódź,1,1
2023-09-22T18:30:00+00:00,Ekstraklasa,ŁKS Łódź,Jagiellonia,2,2
2023-09-23T10:30:00+00:00,Ekstraklasa,Radomiak Radom,Puszcza Niepołomice,1,1
2023-09-23T13:00:00+00:00,Ekstraklasa,Slask Wroclaw,Piast Gliwice,1,0
2023-09-23T15:30:00+00:00,Ekstraklasa,Cracovia Krakow,Pogon Szczecin,1,5
2023-09-23T18:00:00+00:00,Ekstraklasa,Lech Poznan,Stal Mielec,2,1
2023-09-24T10:30:00+00:00,Ekstraklasa,Zaglebie Lubin,Warta Poznań,1,0
2023-09-24T13:00:00+00:00,Ekstraklasa,Ruch Chorzów,Raków Częstochowa,3,5
2023-09-24T15:30:00+00:00,Ekstraklasa,Legia Warszawa,Gornik Zabrze,2,1
2023-09-27T18:00:00+00:00,Ekstraklasa,Pogon Szczecin,Legia Warszawa,3,4
2023-09-28T18:00:00+00:00,Ekstraklasa,Lech Poznan,Raków Częstochowa,4,1
2023-09-29T16:00:00+00:00,Ekstraklasa,Stal Mielec,Korona Kielce,2,3
2023-09-29T18:30:00+00:00,Ekstraklasa,Piast Gliwice,Widzew Łódź,3,2
2023-09-30T13:00:00+00:00,Ekstraklasa,ŁKS Łódź,Cracovia Krakow,0,2
2023-09-30T15:30:00+00:00,Ekstraklasa,Puszcza Niepołomice,Ruch Chorzów,2,2
2023-09-30T18:00:00+00:00,Ekstraklasa,Warta Poznań,Slask Wroclaw,0,1
2023-10-01T13:00:00+00:00,Ekstraklasa,Raków Częstochowa,Radomiak Radom,3,0
2023-10-01T15:30:00+00:00,Ekstraklasa,Pogon Szczecin,Lech Poznan,5,0
2023-10-01T18:00:00+00:00,Ekstraklasa,Jagiellonia,Legia Warszawa,2,0
2023-10-02T17:00:00+00:00,Ekstraklasa,Gornik Zabrze,Zaglebie Lubin,0,2
2023-10-06T16:00:00+00:00,Ekstraklasa,Korona Kielce,Warta Poznań,1,1
2023-10-06T18:30:00+00:00,Ekstraklasa,Lech Poznan,Puszcza Niepołomice,4,1
2023-10-07T10:30:00+00:00,Ekstraklasa,Radomiak Radom,ŁKS Łódź,3,0
2023-10-07T13:00:00+00:00,Ekstraklasa,Widzew Łódź,Stal Mielec,1,0
2023-10-07T15:30:00+00:00,Ekstraklasa,Zaglebie Lubin,Piast Gliwice,1,1
2023-10-07T18:00:00+00:00,Ekstraklasa,Ruch Chorzów,Pogon Szczecin,0,3
2023-10-08T10:30:00+00:00,Ekstraklasa,Slask Wroclaw,Gornik Zabrze,1,1
2023-10-08T13:00:00+00:00,Ekstraklasa,Cracovia Krakow,Jagiellonia,2,4
2023-10-08T15:30:00+00:00,Ekstraklasa,Legia Warszawa,Raków Częstochowa,1,2
2023-10-20T16:00:00+00:00,Ekstraklasa,Piast Gliwice,Pogon Szczecin,0,0
2023-10-20T18:30:00+00:00,Ekstraklasa,Jagiellonia,Zaglebie Lubin,3,0
2023-10-21T13:00:00+00:00,Ekstraklasa,Puszcza Niepołomice,Cracovia Krakow,1,1
2023-10-21T15:30:00+00:00,Ekstraklasa,Slask Wroclaw,Legia Warszawa,4,0
2023-10-21T18:00:00+00:00,Ekstraklasa,Lech Poznan,ŁKS Łódź,3,1
2023-10-22T10:30:00+00:00,Ekstraklasa,Radomiak Radom,Korona Kielce,1,1
2023-10-22T15:30:00+00:00,Ekstraklasa,Gornik Zabrze,Raków Częstochowa,2,1
2023-10-23T17:00:00+00:00,Ekstraklasa,Stal Mielec,Warta Poznań,0,1
2023-10-24T16:00:00+00:00,Ekstraklasa,Lech Poznan,Jagiellonia,3,3
2023-10-27T16:00:00+00:00,Ekstraklasa,Korona Kielce,Puszcza Niepołomice,5,3
2023-10-27T18:30:00+00:00,Ekstraklasa,ŁKS Łódź,Gornik Zabrze,0,5
2023-10-28T10:30:00+00:00,Ekstraklasa,Warta Poznań,Piast Gliwice,1,1
2023-10-28T13:00:00+00:00,Ekstraklasa,Pogon Szczecin,Jagiellonia,2,1
2023-10-28T15:30:00+00:00,Ekstraklasa,Cracovia Krakow,Lech Poznan,1,1
2023-10-28T18:00:00+00:00,Ekstraklasa,Ruch Chorzów,Slask Wroclaw,2,2
2023-10-29T11:30:00+00:00,Ekstraklasa,Zaglebie Lubin,Radomiak Radom,2,3
2023-10-29T14:00:00+00:00,Ekstraklasa,Legia Warszawa,Stal Mielec,1,3
2023-10-29T16:30:00+00:00,Ekstraklasa,Raków Częstochowa,Widzew Łódź,1,1
2023-11-03T17:00:00+00:00,Ekstraklasa,Piast Gliwice,Korona Kielce,0,0
2023-11-03T19:30:00+00:00,Ekstraklasa,Jagiellonia,Stal Mielec,4,0
2023-11-04T14:00:00+00:00,Ekstraklasa,Puszcza Niepołomice,Pogon Szczecin,0,2
2023-11-04T16:30:00+00:00,Ekstraklasa,Widzew Łódź,Warta Poznań,0,1
2023-11-04T19:00:00+00:00,Ekstraklasa,Lech Poznan,Ruch Chorzów,2,0
2023-11-05T11:30:00+00:00,Ekstraklasa,Slask Wroclaw,ŁKS Łódź,2,1
2023-11-05T14:00:00+00:00,Ekstraklasa,Raków Częstochowa,Zaglebie Lubin,5,0
2023-11-05T16:30:00+00:00,Ekstraklasa,Radomiak Radom,Legia Warszawa,0,1
2023-11-06T18:00:00+00:00,Ekstraklasa,Gornik Zabrze,Cracovia Krakow,1,0
2023-11-10T17:00:00+00:00,Ekstraklasa,Warta Poznań,Puszcza Niepołomice,0,2
2023-11-10T19:30:00+00:00,Ekstraklasa,Cracovia Krakow,Slask Wroclaw,0,1
2023-11-11T14:00:00+00:00,Ekstraklasa,ŁKS Łódź,Piast Gliwice,3,3
2023-11-11T16:30:00+00:00,Ekstraklasa,Zaglebie Lubin,Widzew Łódź,1,1
2023-11-11T19:00:00+00:00,Ekstraklasa,Korona Kielce,Jagiellonia,2,2
2023-11-12T11:30:00+00:00,Ekstraklasa,Stal Mielec,Gornik Zabrze,2,1
2023-11-12T14:00:00+00:00,Ekstraklasa,Pogon Szczecin,Raków Częstochowa,1,1
2023-11-12T16:30:00+00:00,Ekstraklasa,Legia Warszawa,Lech Poznan,0,0
2023-11-13T18:00:00+00:00,Ekstraklasa,Ruch Chorzów,Radomiak Radom,0,0
2023-11-18T16:30:00+00:00,Ekstraklasa,Widzew Łódź,Ruch Chorzów,2,1
2023-11-24T17:00:00+00:00,Ekstraklasa,ŁKS Łódź,Zaglebie Lubin,0,2
2023-11-24T19:30:00+00:00,Ekstraklasa,Jagiellonia,Piast Gliwice,0,0
2023-11-25T14:00:00+00:00,Ekstraklasa,Raków Częstochowa,Cracovia Krakow,1,1
2023-11-25T16:30:00+00:00,Ekstraklasa,Pogon Szczecin,Stal Mielec,2,3
2023-11-25T19:00:00+00:00,Ekstraklasa,Legia Warszawa,Warta Poznań,2,2
2023-11-26T11:30:00+00:00,Ekstraklasa,Puszcza Niepołomice,Gornik Zabrze,2,1
2023-11-26T14:00:00+00:00,Ekstraklasa,Ruch Chorzów,Korona Kielce,1,1
2023-11-26T16:30:00+00:00,Ekstraklasa,Lech Poznan,Widzew Łódź,1,3
2023-11-27T18:00:00+00:00,Ekstraklasa,Radomiak Radom,Slask Wroclaw,0,1
2023-12-01T17:00:00+00:00,Ekstraklasa,Warta Poznań,Jagiellonia,1,2
2023-12-01T19:30:00+00:00,Ekstraklasa,Gornik Zabrze,Pogon Szczecin,1,0
2023-12-02T16:30:00+00:00,Ekstraklasa,Widzew Łódź,Radomiak Radom,0,3
2023-12-02T19:00:00+00:00,Ekstraklasa,Korona Kielce,Lech Poznan,0,1
2023-12-03T11:30:00+00:00,Ekstraklasa,Cracovia Krakow,Ruch Chorzów,4,4
2023-12-03T14:00:00+00:00,Ekstraklasa,Zaglebie Lubin,Legia Warszawa,0,3
2023-12-03T16:30:00+00:00,Ekstraklasa,Slask Wroclaw,Raków Częstochowa,1,1
2023-12-08T17:00:00+00:00,Ekstraklasa,Ruch Chorzów,Zaglebie Lubin,2,2
2023-12-08T19:30:00+00:00,Ekstraklasa,Pogon Szczecin,Warta Poznań,3,3
2023-12-09T14:00:00+00:00,Ekstraklasa,Radomiak Radom,Gornik Zabrze,1,1
2023-12-09T16:30:00+00:00,Ekstraklasa,Cracovia Krakow,Stal Mielec,2,2
2023-12-09T19:00:00+00:00,Ekstraklasa,Slask Wroclaw,Korona Kielce,0,0
2023-12-10T11:30:00+00:00,Ekstraklasa,Lech Poznan,Piast Gliwice,0,1
2023-12-10T14:00:00+00:00,Ekstraklasa,ŁKS Łódź,Legia Warszawa,1,1
2023-12-10T16:30:00+00:00,Ekstraklasa,Jagiellonia,Raków Częstochowa,4,2
2023-12-11T18:00:00+00:00,Ekstraklasa,Puszcza Niepołomice,Widzew Łódź,1,0
2023-12-15T17:00:00+00:00,Ekstraklasa,Gornik Zabrze,Warta Poznań,3,0
2023-12-15T19:30:00+00:00,Ekstraklasa,Zaglebie Lubin,Slask Wroclaw,1,2
2023-12-16T14:00:00+00:00,Ekstraklasa,Puszcza Niepołomice,Jagiellonia,3,3
2023-12-16T16:30:00+00:00,Ekstraklasa,Widzew Łódź,Pogon Szczecin,1,2
2023-12-16T19:00:00+00:00,Ekstraklasa,Radomiak Radom,Lech Poznan,2,2
2023-12-17T11:30:00+00:00,Ekstraklasa,ŁKS Łódź,Ruch Chorzów,1,1
2023-12-17T14:00:00+00:00,Ekstraklasa,Raków Częstochowa,Korona Kielce,1,0
2023-12-17T16:30:00+00:00,Ekstraklasa,Legia Warszawa,Cracovia Krakow,2,0
2023-12-18T18:00:00+00:00,Ekstraklasa,Piast Gliwice,Stal Mielec,3,0
2023-12-20T18:00:00+00:00,Ekstraklasa,Cracovia Krakow,Legia Warszawa,2,0
2024-02-09T17:00:00+00:00,Ekstraklasa,Stal Mielec,Puszcza Niepołomice,2,1
2024-02-09T19:30:00+00:00,Ekstraklasa,Ruch Chorzów,Legia Warszawa,0,1
2024-02-10T14:00:00+00:00,Ekstraklasa,Cracovia Krakow,Radomiak Radom,6,0
2024-02-10T16:30:00+00:00,Ekstraklasa,Piast Gliwice,Gornik Zabrze,1,3
2024-02-10T19:00:00+00:00,Ekstraklasa,Lech Poznan,Zaglebie Lubin,2,0
2024-02-11T11:30:00+00:00,Ekstraklasa,Warta Poznań,Raków Częstochowa,2,1
2024-02-11T14:00:00+00:00,Ekstraklasa,Widzew Łódź,Jagiellonia,1,3
2024-02-11T16:30:00+00:00,Ekstraklasa,Slask Wroclaw,Pogon Szczecin,0,1
2024-02-12T18:00:00+00:00,Ekstraklasa,Korona Kielce,ŁKS Łódź,2,1
2024-02-16T17:00:00+00:00,Ekstraklasa,Radomiak Radom,Pogon Szczecin,0,4
2024-02-16T19:30:00+00:00,Ekstraklasa,Slask Wroclaw,Stal Mielec,0,1
2024-02-17T14:00:00+00:00,Ekstraklasa,Ruch Chorzów,Warta Poznań,0,0
2024-02-17T16:30:00+00:00,Ekstraklasa,Jagiellonia,Lech Poznan,1,2
2024-02-17T19:00:00+00:00,Ekstraklasa,Raków Częstochowa,Piast Gliwice,3,1
2024-02-18T11:30:00+00:00,Ekstraklasa,Zaglebie Lubin,Cracovia Krakow,1,1
2024-02-18T14:00:00+00:00,Ekstraklasa,Legia Warszawa,Puszcza Niepołomice,1,1
2024-02-18T16:30:00+00:00,Ekstraklasa,ŁKS Łódź,Widzew Łódź,0,2
2024-02-19T18:00:00+00:00,Ekstraklasa,Gornik Zabrze,Korona Kielce,3,1
2024-02-23T17:00:00+00:00,Ekstraklasa,Piast Gliwice,Cracovia Krakow,0,0
2024-02-23T19:30:00+00:00,Ekstraklasa,Pogon Szczecin,ŁKS Łódź,4,2
2024-02-24T14:00:00+00:00,Ekstraklasa,Jagiellonia,Ruch Chorzów,1,1
2024-02-24T16:30:00+00:00,Ekstraklasa,Lech Poznan,Slask Wroclaw,0,0
2024-02-24T19:00:00+00:00,Ekstraklasa,Stal Mielec,Raków Częstochowa,0,0
2024-02-25T11:30:00+00:00,Ekstraklasa,Puszcza Niepołomice,Zaglebie Lubin,2,2
2024-02-25T14:00:00+00:00,Ekstraklasa,Widzew Łódź,Gornik Zabrze,3,1
2024-02-25T16:30:00+00:00,Ekstraklasa,Korona Kielce,Legia Warszawa,3,3
2024-02-26T18:00:00+00:00,Ekstraklasa,Warta Poznań,Radomiak Radom,0,0
2024-02-28T17:30:00+00:00,Ekstraklasa,Stal Mielec,ŁKS Łódź,1,0
2024-03-01T17:00:00+00:00,Ekstraklasa,Cracovia Krakow,Warta Poznań,0,1
2024-03-01T19:30:00+00:00,Ekstraklasa,Ruch Chorzów,Piast Gliwice,3,0
2024-03-02T14:00:00+00:00,Ekstraklasa,Gornik Zabrze,Jagiellonia,2,1
2024-03-02T16:30:00+00:00,Ekstraklasa,Slask Wroclaw,Widzew Łódź,2,1
2024-03-02T19:00:00+00:00,Ekstraklasa,Legia Warszawa,Pogon Szczecin,1,1
2024-03-03T11:30:00+00:00,Ekstraklasa,ŁKS Łódź,Puszcza Niepołomice,3,2
2024-03-03T14:00:00+00:00,Ekstraklasa,Zaglebie Lubin,Korona Kielce,1,0
2024-03-03T16:30:00+00:00,Ekstraklasa,Raków Częstochowa,Lech Poznan,4,0
2024-03-04T18:00:00+00:00,Ekstraklasa,Radomiak Radom,Stal Mielec,2,1
2024-03-08T17:00:00+00:00,Ekstraklasa,Piast Gliwice,Radomiak Radom,2,3
2024-03-08T19:30:00+00:00,Ekstraklasa,Jagiellonia,Slask Wroclaw,3,1
2024-03-09T14:00:00+00:00,Ekstraklasa,Korona Kielce,Cracovia Krakow,1,1
2024-03-09T16:30:00+00:00,Ekstraklasa,Puszcza Niepołomice,Raków Częstochowa,1,1
2024-03-09T19:00:00+00:00,Ekstraklasa,Gornik Zabrze,Lech Poznan,0,0
2024-03-10T11:30:00+00:00,Ekstraklasa,Stal Mielec,Ruch Chorzów,3,1
2024-03-10T14:00:00+00:00,Ekstraklasa,Pogon Szczecin,Zaglebie Lubin,0,2
2024-03-10T16:30:00+00:00,Ekstraklasa,Widzew Łódź,Legia Warszawa,1,0
2024-03-11T18:00:00+00:00,Ekstraklasa,Warta Poznań,ŁKS Łódź,0,1
2024-03-12T17:30:00+00:00,Ekstraklasa,Piast Gliwice,Puszcza Niepołomice,1,0
2024-03-13T17:30:00+00:00,Ekstraklasa,Korona Kielce,Raków Częstochowa,0,2
2024-03-15T17:00:00+00:00,Ekstraklasa,Zaglebie Lubin,Stal Mielec,0,0
2024-03-15T19:30:00+00:00,Ekstraklasa,Lech Poznan,Warta Poznań,2,0
2024-03-16T11:30:00+00:00,Ekstraklasa,Cracovia Krakow,Widzew Łódź,2,2
2024-03-16T14:00:00+00:00,Ekstraklasa,Radomiak Radom,Jagiellonia,0,2
2024-03-16T16:30:00+00:00,Ekstraklasa,Ruch Chorzów,Gornik Zabrze,1,2
2024-03-16T19:00:00+00:00,Ekstraklasa,Slask Wroclaw,Puszcza Niepołomice,0,0
2024-03-17T11:30:00+00:00,Ekstraklasa,Korona Kielce,Pogon Szczecin,2,2
2024-03-17T14:00:00+00:00,Ekstraklasa,ŁKS Łódź,Raków Częstochowa,1,1
2024-03-17T16:30:00+00:00,Ekstraklasa,Legia Warszawa,Piast Gliwice,3,1
2024-03-30T11:30:00+00:00,Ekstraklasa,Raków Częstochowa,Ruch Chorzów,1,1
2024-03-30T14:00:00+00:00,Ekstraklasa,Jagiellonia,ŁKS Łódź,6,0
2024-03-30T16:30:00+00:00,Ekstraklasa,Piast Gliwice,Slask Wroclaw,2,2
2024-03-30T19:00:00+00:00,Ekstraklasa,Pogon Szczecin,Cracovia Krakow,3,1
2024-04-01T10:30:00+00:00,Ekstraklasa,Puszcza Niepołomice,Radomiak Radom,1,1
2024-04-01T13:00:00+00:00,Ekstraklasa,Stal Mielec,Lech Poznan,0,0
2024-04-01T15:30:00+00:00,Ekstraklasa,Widzew Łódź,Korona Kielce,3,1
2024-04-01T18:00:00+00:00,Ekstraklasa,Gornik Zabrze,Legia Warszawa,1,3
2024-04-02T17:00:00+00:00,Ekstraklasa,Warta Poznań,Zaglebie Lubin,1,1
2024-04-05T16:00:00+00:00,Ekstraklasa,Cracovia Krakow,ŁKS Łódź,2,2
2024-04-05T18:30:00+00:00,Ekstraklasa,Radomiak Radom,Raków Częstochowa,2,1
2024-04-06T13:00:00+00:00,Ekstraklasa,Korona Kielce,Stal Mielec,1,0
2024-04-06T15:30:00+00:00,Ekstraklasa,Ruch Chorzów,Puszcza Niepołomice,0,0
2024-04-06T18:00:00+00:00,Ekstraklasa,Slask Wroclaw,Warta Poznań,2,1
2024-04-07T10:30:00+00:00,Ekstraklasa,Widzew Łódź,Piast Gliwice,1,0
2024-04-07T13:00:00+00:00,Ekstraklasa,Lech Poznan,Pogon Szczecin,1,0
2024-04-07T15:30:00+00:00,Ekstraklasa,Legia Warszawa,Jagiellonia,1,1
2024-04-08T17:00:00+00:00,Ekstraklasa,Zaglebie Lubin,Gornik Zabrze,1,2
2024-04-12T16:00:00+00:00,Ekstraklasa,Warta Poznań,Korona Kielce,1,0
2024-04-12T18:30:00+00:00,Ekstraklasa,Pogon Szczecin,Ruch Chorzów,5,0
2024-04-13T13:00:00+00:00,Ekstraklasa,Stal Mielec,Widzew Łódź,0,0
2024-04-13T15:30:00+00:00,Ekstraklasa,Puszcza Niepołomice,Lech Poznan,2,1
2024-04-13T18:00:00+00:00,Ekstraklasa,Raków Częstochowa,Legia Warszawa,1,1
2024-04-14T10:30:00+00:00,Ekstraklasa,ŁKS Łódź,Radomiak Radom,3,2
2024-04-14T13:00:00+00:00,Ekstraklasa,Jagiellonia,Cracovia Krakow,1,3
2024-04-14T15:30:00+00:00,Ekstraklasa,Gornik Zabrze,Slask Wroclaw,2,0
2024-04-15T17:00:00+00:00,Ekstraklasa,Piast Gliwice,Zaglebie Lubin,2,0
2024-04-19T16:00:00+00:00,Ekstraklasa,Korona Kielce,Radomiak Radom,4,0
2024-04-19T18:30:00+00:00,Ekstraklasa,Raków Częstochowa,Gornik Zabrze,0,1
2024-04-20T13:00:00+00:00,Ekstraklasa,Pogon Szczecin,Piast Gliwice,0,2
2024-04-20T15:30:00+00:00,Ekstraklasa,Ruch Chorzów,Widzew Łódź,2,3
2024-04-20T18:00:00+00:00,Ekstraklasa,Zaglebie Lubin,Jagiellonia,1,2
2024-04-21T10:30:00+00:00,Ekstraklasa,Cracovia Krakow,Puszcza Niepołomice,0,1
2024-04-21T13:00:00+00:00,Ekstraklasa,ŁKS Łódź,Lech Poznan,2,3
2024-04-21T15:30:00+00:00,Ekstraklasa,Legia Warszawa,Slask Wroclaw,0,0
2024-04-22T17:00:00+00:00,Ekstraklasa,Warta Poznań,Stal Mielec,5,2
2024-04-26T16:00:00+00:00,Ekstraklasa,Piast Gliwice,Warta Poznań,2,0
2024-04-26T18:30:00+00:00,Ekstraklasa,Jagiellonia,Pogon Szczecin,2,2
2024-04-27T13:00:00+00:00,Ekstraklasa,Gornik Zabrze,ŁKS Łódź,4,1
2024-04-27T15:30:00+00:00,Ekstraklasa,Slask Wroclaw,Ruch Chorzów,2,3
2024-04-27T18:00:00+00:00,Ekstraklasa,Widzew Łódź,Raków Częstochowa,0,1
2024-04-28T10:30:00+00:00,Ekstraklasa,Radomiak Radom,Zaglebie Lubin,3,4
2024-04-28T13:00:00+00:00,Ekstraklasa,Stal Mielec,Legia Warszawa,1,3
2024-04-28T15:30:00+00:00,Ekstraklasa,Lech Poznan,Cracovia Krakow,0,0
2024-04-29T17:00:00+00:00,Ekstraklasa,Puszcza Niepołomice,Korona Kielce,1,1
2024-05-03T16:00:00+00:00,Ekstraklasa,Cracovia Krakow,Gornik Zabrze,5,0
2024-05-03T18:30:00+00:00,Ekstraklasa,Ruch Chorzów,Lech Poznan,2,1
2024-05-04T13:00:00+00:00,Ekstraklasa,ŁKS Łódź,Slask Wroclaw,1,2
2024-05-04T15:30:00+00:00,Ekstraklasa,Zaglebie Lubin,Raków Częstochowa,2,0
2024-05-04T18:00:00+00:00,Ekstraklasa,Stal Mielec,Jagiellonia,3,2
2024-05-05T10:30:00+00:00,Ekstraklasa,Warta Poznań,Widzew Łódź,2,1
2024-05-05T13:00:00+00:00,Ekstraklasa,Korona Kielce,Piast Gliwice,1,1
2024-05-05T15:30:00+00:00,Ekstraklasa,Legia Warszawa,Radomiak Radom,0,3
2024-05-06T17:00:00+00:00,Ekstraklasa,Pogon Szczecin,Puszcza Niepołomice,1,0
2024-05-10T16:00:00+00:00,Ekstraklasa,Piast Gliwice,ŁKS Łódź,4,0
2024-05-10T18:30:00+00:00,Ekstraklasa,Slask Wroclaw,Cracovia Krakow,4,0
2024-05-11T13:00:00+00:00,Ekstraklasa,Gornik Zabrze,Stal Mielec,1,1
2024-05-11T15:30:00+00:00,Ekstraklasa,Jagiellonia,Korona Kielce,3,0
2024-05-11T18:00:00+00:00,Ekstraklasa,Raków Częstochowa,Pogon Szczecin,2,1
2024-05-12T10:30:00+00:00,Ekstraklasa,Puszcza Niepołomice,Warta Poznań,1,0
2024-05-12T13:00:00+00:00,Ekstraklasa,Widzew Łódź,Zaglebie Lubin,1,3
